,text,term,start,end,polarity
2861,"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",freshness,60,69,negative
2872,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",service,4,11,conflict
2890,A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $2.50.,case of snapple,43,58,neutral
2894,"The staff is excellent, specjal: that girl behind the bar, european chic.",bar,54,57,neutral
2899,"The service was bad, the food took to forever to come, we sat on the upper level.",food,25,29,negative
2902,"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",food,103,107,positive
2905,This restaurant is a wonderful place to go many times and it is reasonably priced.,priced,75,81,positive
2911,The service is fine and they allow you to enjoy the view.,service,4,11,positive
2916,"The food is good, but very expensive for the casualness of it.",food,4,8,conflict
2919,The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.,soup,17,21,negative
2930,The atmosphere is much better than Sripraphai (more modern and sleek).,atmosphere,4,14,positive
2954,"We love the food, drinks, and atmosphere!",drinks,18,24,positive
2957,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",place,95,100,positive
2960,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',38,47,negative
2961,My husband and I have been there a couple of times and each time we sat at the sushi bar (chef Yoshi) and ordered everything ala carte.,sushi bar,79,88,neutral
2964,"The vibe is very relaxed and cozy, service was great and the food was excellent!",vibe,4,8,positive
2969,The service was friendly and the atmosphere was casual.,service,4,11,positive
2988,"Waitstaff is great, very attentive.",Waitstaff,0,9,positive
3008,"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.",duck noodles,53,65,positive
3018,The bagels are also reasonably priced for NYC.,bagels,4,10,positive
3021,"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",table,95,100,positive
3026,"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",prices,88,94,negative
3035,"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",Lemon grass chicken,83,102,positive
3038,"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.",food,4,8,positive
3050,The entire place and the treatment we received felt as a conveyor belt.,place,11,16,negative
3051,Joe's Pizza used to have the best slice until this pizzeria opened up.,slice,34,39,positive
3071,"The staff was very attentive, the ambience lovely, and the food superb.",ambience,34,42,positive
3072,"The staff was very attentive, the ambience lovely, and the food superb.",food,59,63,positive
3075,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",food,74,78,positive
3090,"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.",chocolate cake,23,37,conflict
3098,"I would definitely go back for a very special occasion, but not for regular fine dining.",dining,81,87,neutral
3108,"This is such a lovely, peaceful place to eat outside.",place,32,37,positive
3110,The sauce is delicious and the crust is perfect.,crust,31,36,positive
3128,The garlic mashed potatoes are hands down the best in the city!,garlic mashed potatoes,4,26,positive
3134,"Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.",service,107,114,negative
3146,"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.",desserts,35,43,negative
3163,"Southern Indian cuisine is still there, too.",Southern Indian cuisine,0,23,neutral
3206,If you have a dumpling fetish i suggest you try some here!,dumpling,14,22,positive
3207,"Three page wine menu, one page entree and horedevous.",wine menu,11,20,positive
3209,"Three page wine menu, one page entree and horedevous.",horedevous,42,52,positive
3215,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",drink,50,55,neutral
3245,"If it isn't for the food (A+++), it must be the service or the ambience.",ambience,63,71,positive
3279,"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.",cost,90,94,negative
3283,The steak was very fatty and the sauce was overpowering and not very tasty.,steak,4,9,negative
3288,The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,food,4,8,conflict
3297,The bagel was huge.,bagel,4,9,neutral
3308,Service- friendly and attentive.,Service,0,7,positive
3311,"Great food, great decor, great service.",decor,18,23,positive
3312,"Great food, great decor, great service.",service,31,38,positive
3319,"Yeah, sometimes the service can be slow.",service,20,27,negative
3330,"They sell special sushi, everything have a topping, sauce and etc.",sushi,18,23,positive
3332,"They sell special sushi, everything have a topping, sauce and etc.",topping,43,50,positive
3333,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,taste,116,121,negative
3350,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,pictures,140,148,positive
3366,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,wait time,109,118,negative
3385,"The service was excellent, the food was excellent, but the entire experience was very cool.",service,4,11,positive
3390,"Great spot, whether looking for a couple of drinks or quiet dinner.",spot,6,10,positive
3413,"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",food,5,9,positive
3415,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,service,93,100,positive
3438,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!",glass of wine,26,39,neutral
3442,"The drinks are a saving grace, but service staff, please, get over yourselves.",service staff,35,48,negative
3443,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,delivery guys,49,62,negative
3446,The prices are exceptionally reasonable for food of this caliber.,food,44,48,positive
3448,The filet mignon dish was superb!,filet mignon dish,4,21,positive
3457,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere,4,14,neutral
3487,"If you go for the pre-theatre menu, it's an even greater deal.",pre-theatre menu,18,34,positive
3510,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,fondue,66,72,positive
3521,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,112,119,positive
3539,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,wasabi,117,123,positive
3574,I've had to wait only a few times during lunch but this place is definitely worth the wait.,lunch,41,46,neutral
3575,I've had to wait only a few times during lunch but this place is definitely worth the wait.,wait,86,90,positive
3581,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",lunch buffet,109,121,positive
3591,Try the Times Square cocktail -- ginger lemonade with vodka (also available without vodka.),ginger lemonade with vodka,33,59,positive
3597,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",meal,92,96,negative
3601,honestly the worst sushi my husband and i had in our entire lives.,sushi,19,24,negative
3612,Interesting other dishes for a change include chicken in curry sauce and salmon caserole.,dishes,18,24,positive
3637,The dish had like 6 pieces of beef in it.,beef,30,34,neutral
3650,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,44,49,neutral
3657,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",value,29,34,neutral
